DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
270443,Population with water on the premises,79.7,1,BO,Bolivia,1998,BO1998DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,1998,DHS,52451,52777,NA,NA,NA
270425,Population with water 30 minutes or less away round trip,17.9,1,BO,Bolivia,1998,BO1998DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,1998,DHS,52451,52777,NA,NA,NA
270444,Population with water more than 30 minutes away round trip,2.2,1,BO,Bolivia,1998,BO1998DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,1998,DHS,52451,52777,NA,NA,NA
270432,Population with unknown or missing information on round trip time to water,0.2,1,BO,Bolivia,1998,BO1998DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,1998,DHS,52451,52777,NA,NA,NA
640472,Population with water on the premises,75.6,1,BO,Bolivia,2003,BO2003DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2003,DHS,81090,80546,NA,NA,NA
639403,Population with water 30 minutes or less away round trip,22.6,1,BO,Bolivia,2003,BO2003DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2003,DHS,81090,80546,NA,NA,NA
640482,Population with water more than 30 minutes away round trip,1.8,1,BO,Bolivia,2003,BO2003DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2003,DHS,81090,80546,NA,NA,NA
639399,Population with unknown or missing information on round trip time to water,0,1,BO,Bolivia,2003,BO2003DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2003,DHS,81090,80546,NA,NA,NA
735105,Population with water on the premises,88,1,BO,Bolivia,2008,BO2008DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2008,DHS,77081,77152,NA,NA,NA
735125,Population with water 30 minutes or less away round trip,11.2,1,BO,Bolivia,2008,BO2008DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2008,DHS,77081,77152,NA,NA,NA
735110,Population with water more than 30 minutes away round trip,0.8,1,BO,Bolivia,2008,BO2008DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2008,DHS,77081,77152,NA,NA,NA
